category,weight,wing,tarsus,blength,bdepth,bwidth,Prin1,Prin1 2,Prin2
fF,17.4,68,19.3,11.9,9.8,9,0.147651711,1.06075563,-0.2310225
Ff,14.3,63,19.4,9.7,7.8,7.7,-1.451949588,-2.394326515,-0.051703776
Ff,13.6,64,18.6,10.2,8.2,8.2,-1.854935757,-1.452168963,-0.163089996
Ff,14.6,66,18.8,10.5,8.8,8.5,-1.145101481,-0.609419112,-0.383071023
Ff,15.6,65,19.5,10,8.2,7.7,-0.72409588,-1.997512274,-0.048975136
Ff,17.6,69,20.8,12,10.5,9.9,1.170374996,2.505143567,-0.884061464
fF,12.5,66,19.3,10.4,8.4,8.4,-1.376749133,-1.044477573,-0.224661073
Ff,15.1,67,19.2,10.7,9.2,8.8,-0.631916902,0.049678711,-0.575600617
fF,16.2,66,19.1,9.2,7.7,7.7,-0.609366062,-2.618948357,-0.297319843
Ff,14.9,65,19.7,10.5,8.5,8.3,-0.783726492,-1.035161055,-0.163695461
Ff,14.6,68,19.2,10,8.1,7.9,-0.565673064,-1.880054019,-0.098184815
fF,15,65,19.5,10.1,8.6,7.9,-0.865646371,-1.465189223,-0.253260662
Ff,11.5,64,18.9,8.9,7.8,8,-2.192095037,-2.338614221,-0.650382562
Ff,11.7,64,18,9.3,8.2,7.8,-2.619713863,-2.106818973,-0.498271265
Ff,15,66,19.4,10.8,9,8.9,-0.734199604,0.022311639,-0.478761742
Ff,15.7,67.5,17.95,9.85,7.35,7.35,-1.057712792,-3.037306449,0.386744617
Ff,19.9,69,20.5,12.2,10,9.3,1.554717773,1.595221793,-0.280837644
Ff,18.8,69,18.7,11.2,9.3,8.4,0.34560389,-0.114757801,-0.146482249
fF,19.8,69.5,19.25,13.05,11.55,9.6,0.963779643,3.332451418,-0.587989352
Ff,17.1,69,19.2,11.2,9.8,9,0.208323233,0.854184342,-0.634443054
Ff,17.6,68,19.7,12.1,10,9.6,0.405858463,1.857505374,-0.476095876
Ff,14.6,70,18.6,10.2,9.2,8.2,-0.513802785,-0.68145974,-0.588504705
fF,18.3,71,19.7,12,10.8,9.9,1.123608447,2.736356334,-1.011685876
Ff,16.3,71,20.5,12.2,10.3,9.7,1.073819985,2.215492914,-0.591964356
Ff,20.75,71.5,20.75,12.5,10.25,8.95,2.347643623,1.53600359,-0.053732285
Ff,19.7,70,20,12.2,10.5,9.5,1.427957788,2.175105581,-0.585296148
fF,15.5,69,19.9,11.1,10,9.5,0.200145951,1.465138945,-1.006535378
Ff,18.1,65,19,11,9.3,8.6,-0.398081233,0.020751008,-0.353496414
Ff,13.8,63,16.5,9.4,7.2,7,-3.09982693,-3.62613472,0.351779552
Ff,15.5,66,18.7,10,8.5,8,-0.985531557,-1.474505741,-0.314226274
fF,14,64,18.4,10.1,8.1,7.9,-1.86608039,-1.850543835,-0.040553308
fF,13,65,18.1,9.2,7.5,7.5,-2.076062736,-2.967619379,-0.120485751
fF,19.2,72,20.2,10.9,9.7,9.2,1.783915834,0.883112045,-0.856547256
Ff,15.4,65,19.1,10.4,8.6,8.1,-0.982302632,-1.182129494,-0.172117289
Ff,13,65,19.2,9.9,7.7,7.4,-1.495748785,-2.704170835,0.243727436
Ff,14.7,66,18.4,9.3,8.6,8.4,-1.332532988,-1.214947753,-0.943690599
fF,16.4,68,20.1,11.5,8.4,8.8,0.333780735,-0.330807195,0.225783212
fF,14.4,65,20,10.9,9,9,-0.743417794,0.149086412,-0.46700581
Ff,17,65,21.1,11.4,7.8,8.1,0.450281621,-1.503595032,0.744529555
fF,14.1,65,18.2,10.2,8,8.5,-1.763797688,-1.314517042,-0.215633779
Ff,14,67,19.3,9,7.7,7.5,-0.838670323,-2.872497902,-0.320831709
fF,13.4,66,17.7,9.7,8.2,7.9,-2.008516416,-1.891513649,-0.313620809
Ff,15.4,66,19,11.4,8.5,8,-0.850855865,-1.061363165,0.492614834
FfS,16.8,70,18.8,10.9,9.3,9.1,0.110727313,0.477563767,-0.640505797
FfS,15.86,69.33,18.95,10.74,8.47,8.4,-0.155317133,-0.890193302,-0.058492976
fFS,16.21,68.33,20.6,11.89,8.96,8.15,0.613522333,-0.416340138,0.510505093
FfS,16.21,66.33,19.2,11.94,9.76,8.95,-0.493464222,0.993099041,-0.168015521
FfS,19.2,75,20.7,14.4,9,9,2.600302646,1.181942853,1.55009696
FfS,12.3,68,17.8,10.1,7.2,7,-1.846864675,-3.419563432,0.755200106
FfS,20.5,73,21,12.4,9.3,8.6,2.696857658,0.433893585,0.453344693
fFS,18.9,67,19.9,12.9,,8,0.633860242,,
FfS,16.6,70,20,11.3,9.6,8.9,0.696613581,0.632288093,-0.445853029
fFS,17.1,70,19.8,13.2,9.2,8.9,0.709060696,0.8846979,0.819311501
FfS,20.8,73,20.4,13.9,9.3,9,2.451098021,1.265604699,1.134315009
FfS,16.1,66,20,12.6,8.4,7.7,-0.158155487,-1.076105644,1.364361122
FfS,13.7,65,19,10.4,8,8.1,-1.436118172,-1.644555028,0.083131536
FfS,20.2,72,20.6,12.7,11.3,9.9,2.230856576,3.328282234,-0.820972677
FfS,19.1,68,20.3,12.9,9.5,9,1.076269575,1.124644704,0.47291699
FfS,15,68,19.7,10.1,8.5,8.4,-0.207527001,-1.055937203,-0.440097066
FfS,17,69,20.8,12.1,8.9,8.7,1.028824504,0.134343932,0.404740479
FfS,18.5,67,19.7,12.2,9.4,9.1,0.43398162,0.938267082,0.066162332
fortis,15.84,67.13,19.55,10.3,8.95,8.32,-0.248746278,-0.727909356,-0.47957021
fortis,16,67,17.7,10.4,9.3,8.6,-1.210928371,-0.156310096,-0.699285461
fortis,19.25,72.38,19.38,12.1,10.85,10.13,1.433111017,3.028110533,-1.080838927
fortis,16.1,68,19.1,11.3,10,8.2,-0.264552648,0.259719662,-0.294889887
fortis,18.6,67.5,19.95,11.15,9.5,8.9,0.681564194,0.510951895,-0.48975882
fortis,17.27,71.12,19.6,11.79,10.33,9.59,0.849961932,2.010631388,-0.790552847
fortis,15.78,66.62,19.1,11.04,9.93,8.94,-0.594245806,0.848801494,-0.754432033
fortis,17.62,68.78,19.1,10.64,9.66,8.76,0.237719944,0.347593008,-0.787520057
fortis,17.45,69.35,19.89,11.02,10.17,9.67,0.719380371,1.737901167,-1.202949563
fortis,15.15,66,18.3,10.4,8.7,8.4,-1.279125933,-0.813264806,-0.352285485
fortis,17.97,68,18.93,11.17,9.6,8.83,0.086928167,0.525839642,-0.488661087
fortis,15.7,67.67,18.7,10.87,8.73,8.17,-0.63072975,-0.875154218,0.011333982
fortis,18.17,68,18.37,10.87,9.7,9.03,-0.161320892,0.708909189,-0.795848231
fortis,18.53,70.3,19.67,11,9.7,8.73,1.033100918,0.455478663,-0.583300545
fortis,19.8,69.25,19.25,11.42,10.27,10,0.917728998,2.253985967,-1.1663544
fortis,15.7,69,18.9,10.9,9.8,9,-0.280228689,0.76565379,-0.807337577
fortis,18.4,70,19.7,11.8,10.3,9.4,0.962997615,1.805658412,-0.684863662
fortis,17.77,70.06,19.2,12.73,10.88,9.79,0.561642684,2.906446368,-0.574545914
fortis,16.2,67,19.1,11.5,9.9,8.7,-0.425163481,0.727992051,-0.366463276
fortis,17.2,69,20.3,11.9,9.8,9,0.812228933,1.06075563,-0.2310225
fortis,17.2,68.5,19.15,11.4,9.8,8.6,0.113435784,0.524146356,-0.335677738
fortis,18,68,19.5,11.8,10.5,9.7,0.39471383,2.251594022,-0.907573329
fortis,14,66,17.9,10,8.6,8.2,-1.761454297,-1.202905642,-0.448518895
fortis,19.4,69,18.7,11.3,9.6,8.8,0.487154382,0.535023504,-0.399977454
fortis,12.43,66,18.97,9.8,7.65,7.07,-1.567357543,-3.093189622,0.358756061
fortis,18.8,71,19.2,11.8,9.9,8.5,0.977788121,0.621993426,-0.101817603
fortis,17.96,69.11,19.16,11.1,8.89,8.23,0.410372229,-0.625608566,0.048294752
fortis,14.62,65.81,19.05,10.74,8.03,7.86,-1.043492087,-1.754534138,0.376417601
fortis,16.05,68.34,19.41,11.51,9.45,8.3,-0.050176623,-0.004934435,0.014238794
fortis,16.3,69,19,10.4,8.9,8.2,-0.085922384,-0.853652139,-0.345617277
fortis,13.85,64.5,18.5,9.8,8.55,8.05,-1.756610909,-1.446358354,-0.473697812
fortis,16.2,65.5,18.95,11.1,8.9,8.5,-0.780601073,-0.355287085,-0.079823448
fortis,16.3,70,19,10.8,10.3,8.9,0.098280197,1.024233629,-1.031800864
fortis,18.98,71.15,19.62,11.28,10.12,9.41,1.269458074,1.523204254,-0.912560412
fortis,18.03,68.25,18.8,12.32,10.62,9.5,0.078551304,2.303002909,-0.567188104
fortis,13.9,66.5,18.6,10.55,9.2,8.85,-1.323654059,0.054045729,-0.684985666
fortis,17.59,67.84,19.79,11.55,10.05,9.15,0.421507108,1.296044175,-0.607899816
fortis,14.9,65.15,18.17,10.18,8.4,8.08,-1.563260056,-1.420646661,-0.204648549
fortis,15.28,65.06,18.58,11.86,10.43,9.64,-1.273890807,2.156991734,-0.81569005
fortis,17.5,68.7,18.9,11.2,9.87,8.7,0.089162011,0.616340222,-0.526595358
fortis,16.85,71,19.3,10.7,9.2,8.57,0.570504837,-0.174029842,-0.470086794
fortis,16.3,65,18.5,11.4,10.15,8.8,-1.086511777,0.988423761,-0.576324036
fortis,19.9,67,20,11,10,8.8,0.922533542,0.754776642,-0.743037861
fortis,16.1,66,18.5,11,9.2,8.5,-0.949492693,-0.153584502,-0.265079368
